1	677326.367000	7183311.561000	918.610800
2	677232.615000	7183347.923000	907.515260
4861	677301.987000	7183375.209000	907.430200
7361	677348.363000	7183404.373000	910.354550
8327	677277.037000	7183448.112000	907.535640
9383	677324.640000	7183452.273000	907.455700
13236	677315.140000	7183513.858000	908.344700
13237	677388.469000	7183489.352000	913.612550
15223	677368.727000	7183536.108000	912.755800
16799	677320.593000	7183569.561000	907.719060
16800	677392.859000	7183541.191000	913.166440
18075	677336.572000	7183609.688000	904.742100
18076	677386.582000	7183597.524000	904.945000
22245	677433.145000	7183591.339000	912.720030
23377	677413.770000	7183654.724000	904.239140
28444	677431.171000	7183699.140000	903.995400
30841	677449.157000	7183742.009000	904.886050
33313	677508.114000	7183756.669000	914.324300
33314	677413.250000	7183781.707000	913.673100
35430	677495.316000	7183794.561000	913.604000
39714	677524.487000	7183823.253000	912.853400
39715	677478.561000	7183839.697000	912.882800
43075	677537.658000	7183865.843000	912.040470
44269	677582.844000	7183862.566000	911.776800
45505	677471.604000	7183917.108000	911.883500
46519	677547.541000	7183910.337000	910.238900
49501	677507.994000	7183971.269000	907.726900
50592	677607.069000	7183923.885000	909.236300
52875	677640.215000	7183968.355000	907.218600
52876	677561.289000	7183974.761000	907.666560
54129	677521.674000	7184036.352000	905.395200
57423	677597.438000	7184045.504000	906.061400
60910	677557.117000	7184104.994000	907.078740
62306	677664.590000	7184086.161000	909.779850
63556	677610.779000	7184122.534000	908.148800
68027	677577.121000	7184173.381000	907.501650
69203	677675.328000	7184140.093000	910.687560
69204	677660.787000	7184173.432000	911.552250
70414	677610.762000	7184216.398000	910.249940
70415	677702.811000	7184186.720000	913.048160
72408	677676.289000	7184226.952000	913.555540
73931	677622.833000	7184268.056000	913.847530
73932	677728.079000	7184226.245000	913.805240
83433	677675.195000	7184401.404000	914.092350
83434	677789.476000	7184349.173000	914.447450
88343	677797.700000	7184411.175000	924.740000
88344	677737.088000	7184426.757000	916.325800
90888	677720.252000	7184460.933000	919.849000
90889	677810.417000	7184423.208000	924.899540
