DJI_0979.JPG
100001	451	181
100002	347	171
100003	999	175
100004	1194	212
100005	2199	201
100006	2139	191
100007	2774	132
100008	2778	181
100009	3140	107
100010	3068	126
100011	3589	187
100012	3623	54
100013	3904	219
100014	3764	43
100015	3694	117
100016	4546	165
100017	542	231
100018	400	430
100019	717	345
100020	785	290
100021	1043	233
100022	1248	367
100023	1680	285
100024	2094	403
100025	2088	324
100026	2186	280
100027	2506	242
100028	2786	255
100029	3928	235
100030	3910	230
100031	147	634
100032	396	674
100033	765	520
100034	1704	570
100035	1936	631
100036	1938	645
100037	2418	522
100038	2576	605
100039	2829	571
100040	3460	615
100041	4051	524
100042	4679	588
100043	4652	620
100044	236	758
100045	1651	785
100046	1680	690
100047	2389	692
100048	2287	746
100049	2635	841
100050	2833	778
100051	3575	721
100052	3354	745
100053	3772	826
100054	4069	731
100055	4479	781
100056	4728	866
100057	4682	826
100058	423	1026
100059	508	947
100060	778	1126
100061	1312	1001
100062	1565	1055
100063	1786	1076
100064	2370	1122
100066	2670	1037
100067	2708	980
100068	3003	1100
100069	3229	968
100070	4187	1000
100071	4466	1102
100072	4615	1138
100073	799	1150
100074	1117	1159
100075	1255	1304
100076	1793	1150
100077	2101	1298
100078	2428	1213
100079	3024	1247
100080	3113	1157
100081	3539	1329
100082	3518	1230
100083	3778	1168
100084	4203	1162
100085	4511	1268
100087	208	1504
100088	747	1470
100089	1044	1418
100090	1493	1564
100091	1365	1557
100092	1544	1402
100093	2077	1512
100094	2382	1594
100095	2446	1426
100096	2563	1456
100097	2548	1540
100098	2910	1499
100099	3835	1564
100100	3680	1571
100101	4049	1427
100102	4262	1594
100103	4614	1573
100104	218	1602
100105	489	1635
100106	443	1633
100107	1171	1675
100108	1101	1793
100109	1367	1804
100111	1545	1718
100112	1724	1761
100113	1851	1642
100114	1894	1805
100115	2397	1634
100116	3036	1822
100117	3401	1810
100118	3851	1632
100119	3886	1688
100120	4165	1662
100121	4297	1772
100122	4733	1595
100123	351	2021
100124	605	2043
100125	889	1903
100126	1202	2014
100127	1256	1990
100128	1416	1884
100129	1780	2014
100130	2003	1909
100131	1881	1930
100132	2641	1951
100133	2739	1949
100134	3043	1923
100135	3094	1867
100136	3498	2029
100138	3801	1892
100139	4454	1859
100140	4262	1999
