1	1	3379	2257
2	1	3365	2753
1	2	3843	182
2	2	3845	691
1	3	149	3041
2	3	133	3506
1	4	1163	3054
2	4	1146	3527
1	5	1166	3040
2	5	1150	3514
1	6	1118	3090
2	6	1101	3562
1	7	1157	3011
2	7	1140	3485
1	8	1169	3059
2	8	1152	3532
1	9	1145	3027
2	9	1128	3500
1	10	1173	3049
2	10	1156	3523
1	11	1381	3106
2	11	1363	3579
1	12	4198	3037
2	12	4176	3533
1	13	4163	3054
2	13	4140	3550
1	14	4197	3091
2	14	4175	3586
1	15	4449	3094
2	15	4426	3589
1	16	4410	3096
2	16	4387	3590
1	17	4368	3099
2	17	4344	3593
1	18	4398	3097
2	18	4375	3591
1	19	149	3033
2	19	133	3499
1	20	146	3022
2	20	131	3487
1	21	132	3083
2	21	116	3547
1	22	1086	3027
2	22	1070	3499
1	23	1101	3002
2	23	1084	3476
1	24	1135	3035
2	24	1119	3509
1	25	1360	3109
2	25	1342	3582
1	26	4470	3085
2	26	4448	3579
1	27	4513	3081
2	27	4490	3577
1	28	4492	3066
2	28	4469	3561
1	29	4448	3121
2	29	4425	3615
1	30	4325	3131
2	30	4301	3625
1	31	4455	3101
2	31	4432	3595
1	32	143	3152
2	32	127	3615
1	33	1095	3047
2	33	1079	3519
1	34	42	2569
2	34	29	3057
1	35	131	2722
2	35	119	3213
1	36	300	2725
2	36	288	3218
1	37	462	2729
2	37	447	3223
1	38	356	2726
2	38	343	3219
1	39	488	2730
2	39	475	3224
1	40	407	2727
2	40	393	3219
1	41	402	2765
2	41	388	3257
1	42	431	2727
2	42	417	3220
1	43	601	2605
2	43	587	3099
1	44	822	2737
2	44	808	3234
1	45	724	2734
2	45	710	3231
1	46	1119	2741
2	46	1103	3240
1	47	1093	2738
2	47	1079	3237
1	48	1178	2741
2	48	1165	3240
1	49	1215	2742
2	49	1200	3242
1	50	1112	2625
2	50	1098	3122
1	51	1146	2719
2	51	1131	3218
1	52	1031	2667
2	52	1017	3164
1	53	1391	2660
2	53	1377	3159
1	54	1399	2708
2	54	1384	3209
1	55	1227	2739
2	55	1212	3240
1	56	1466	2637
2	56	1451	3139
1	57	1389	2626
2	57	1376	3125
1	58	1521	2766
2	58	1506	3269
1	59	1638	2747
2	59	1622	3252
1	60	1539	2746
2	60	1524	3249
1	61	1795	2750
2	61	1779	3255
