C1	1	10001	3869	1029
C1	2	10001	3788	1539
C1	3	10001	3753	2069
C1	4	10001	3706	2625
C1	5	10001	3672	3168
C2	1	10002	351	715
C2	2	10002	262	1305
C2	3	10002	223	1822
C2	4	10002	184	2325
C2	5	10002	158	2851
C2	6	10002	129	3361
Check01	3	10004861	2189	245
Check01	4	10004861	2148	748
Check01	5	10004861	2100	1255
Check01	6	10004861	2059	1752
Check01	7	10004861	2029	2248
Check01	8	10004861	1995	2740
Check01	9	10004861	1963	3237
C3	6	10007361	3241	302
C3	7	10007361	3202	803
C3	8	10007361	3173	1310
C3	9	10007361	3135	1811
C3	10	10007361	3103	2309
C3	11	10007361	3072	2818
C3	12	10007361	3049	3327
C4	7	10008327	464	213
C4	8	10008327	441	697
C4	9	10008327	400	1196
C4	10	10008327	359	1706
C4	11	10008327	320	2187
C4	12	10008327	286	2701
C4	13	10008327	264	3215
Check02	8	10009383	1903	70
Check02	9	10009383	1861	561
Check02	10	10009383	1816	1054
Check02	11	10009383	1786	1538
Check02	12	10009383	1752	2038
Check02	13	10009383	1729	2536
Check02	14	10009383	1674	3539
C5	12	100013236	765	197
C5	13	100013236	725	700
C5	14	100013236	659	1698
C5	15	100013236	607	2701
C6	12	100013237	3396	71
C6	13	100013237	3361	578
C6	14	100013237	3306	1615
C6	15	100013237	3265	2651
Check03	14	100015223	2087	322
Check03	15	100015223	2034	1344
Check03	16	100015223	1987	2364
Check03	17	100015223	1972	2900
Check03	18	100015223	1957	3430
C7	15	100016799	157	882
C7	16	100016799	92	1858
C7	17	100016799	72	2370
C7	18	100016799	49	2877
C7	19	100016799	31	3393
C8	15	100016800	2767	883
C8	16	100016800	2725	1896
C8	17	100016800	2713	2430
C8	18	100016800	2700	2958
C8	19	100016800	2688	3490
C9	16	100018075	196	452
C9	17	100018075	174	942
C9	18	100018075	148	1427
C9	19	100018075	126	1922
C9	20	100018075	114	2412
C9	21	100018075	112	2916
C9	22	100018075	107	3396
Check04	16	100018076	1864	253
Check04	17	100018076	1847	738
Check04	18	100018076	1828	1217
Check04	19	100018076	1810	1707
Check04	20	100018076	1799	2188
Check04	21	100018076	1797	2680
Check04	22	100018076	1791	3157
Check04	23	100018076	1800	3640
C10	19	100022245	3379	1305
C10	20	100022245	3369	1812
C10	21	100022245	3365	2328
C10	22	100022245	3358	2835
C10	23	100022245	3363	3343
C34	20	100023377	1956	127
C34	21	100023377	1940	607
C34	22	100023377	1930	1077
C34	23	100023377	1925	1554
C34	24	100023377	1915	2030
C34	25	100023377	1884	2846
C34	26	100023377	1883	2997
C35	25	100028444	1893	1294
C35	26	100028444	1885	1442
C35	27	100028444	1870	2256
C35	28	100028444	1875	2402
C35	29	100028444	1863	2874
C35	30	100028444	1851	3358
C36	27	100030841	1904	739
C36	28	100030841	1889	884
C36	29	100030841	1884	1354
C36	30	100030841	1877	1835
C36	31	100030841	1870	2325
C36	32	100030841	1854	2810
C36	33	100030841	1812	3296
C11	29	100033313	3585	42
C11	30	100033313	3587	566
C11	31	100033313	3587	1094
C11	32	100033313	3575	1614
C12	29	100033314	129	491
C12	30	100033314	121	1005
C12	31	100033314	109	1531
C12	32	100033314	86	2055
C12	33	100033314	47	2552
C12	34	100033314	40	3106
C12	35	100033314	40	3638
Check05	31	100035430	2656	27
Check05	32	100035430	2640	538
